frame_num,type
0,before crush
1,before crush
2,before crush
3,before crush
4,before crush
5,before crush
6,before crush
7,before crush
8,before crush
9,before crush
10,before crush
11,before crush
12,before crush
13,before crush
14,before crush
15,before crush
16,before crush
17,before crush
18,before crush
19,before crush
20,before crush
21,before crush
22,before crush
23,before crush
24,before crush
25,before crush
26,before crush
27,before crush
28,before crush
29,before crush
30,before crush
31,before crush
32,before crush
33,before crush
34,before crush
35,before crush
36,before crush
37,crush moment
38,crush moment
39,crush moment
40,crush moment
41,crush moment
42,crush moment
43,crush moment
44,crush moment
45,crush moment
46,crush moment
47,crush moment
48,crush moment
49,crush moment
50,crush moment
51,crush moment
52,crush moment
53,crush moment
54,crush moment
55,crush moment
56,crush moment
57,crush moment
58,crush moment
59,crush moment
60,crush moment
61,crush moment
62,crush moment
63,crush moment
64,crush moment
65,crush moment
66,crush moment
67,crush moment
68,crush moment
69,crush moment
70,crush moment
71,crush moment
72,crush moment
73,crush moment
74,crush moment
75,crush moment
76,crush moment
77,crush moment
78,crush moment
79,crush moment
80,crush moment
81,crush moment
82,crush moment
83,crush moment
84,crush moment
85,crush moment
86,crush moment
87,crush moment
88,crush moment
89,crush moment
90,crush moment
91,crush moment
92,crush moment
93,crush moment
94,crush moment
95,crush moment
96,crush moment
97,crush moment
98,crush moment
99,crush moment
100,crush moment
101,crush moment
102,crush moment
103,crush moment
104,crush moment
105,crush moment
106,crush moment
107,crush moment
108,crush moment
109,crush moment
110,crush moment
111,crush moment
112,crush moment
113,crush moment
114,after crush
115,after crush
116,after crush
117,after crush
118,after crush
119,after crush
120,after crush
121,after crush
122,after crush
123,after crush
124,after crush
125,after crush
126,after crush
