frame_num,type
0,before crush
1,before crush
2,before crush
3,before crush
4,before crush
5,before crush
6,before crush
7,before crush
8,before crush
9,before crush
10,before crush
11,before crush
12,before crush
13,before crush
14,before crush
15,before crush
16,before crush
17,before crush
18,before crush
19,before crush
20,before crush
21,before crush
22,before crush
23,before crush
24,before crush
25,before crush
26,before crush
27,before crush
28,before crush
29,before crush
30,before crush
31,before crush
32,before crush
33,before crush
34,before crush
35,before crush
36,before crush
37,before crush
38,before crush
39,before crush
40,before crush
41,before crush
42,before crush
43,before crush
44,before crush
45,before crush
46,before crush
47,before crush
48,before crush
49,before crush
50,before crush
51,before crush
52,before crush
53,before crush
54,before crush
55,before crush
56,before crush
57,before crush
58,before crush
59,before crush
60,before crush
61,before crush
62,crush moment
63,crush moment
64,crush moment
65,crush moment
66,crush moment
67,crush moment
68,crush moment
69,crush moment
70,crush moment
71,crush moment
72,crush moment
73,crush moment
74,crush moment
75,crush moment
76,crush moment
77,crush moment
78,crush moment
79,crush moment
80,crush moment
81,crush moment
82,crush moment
83,crush moment
84,crush moment
85,crush moment
86,crush moment
87,crush moment
88,crush moment
89,crush moment
90,crush moment
91,crush moment
92,crush moment
93,crush moment
94,crush moment
95,crush moment
96,crush moment
97,crush moment
98,crush moment
99,crush moment
100,crush moment
101,crush moment
102,crush moment
103,crush moment
104,crush moment
105,crush moment
106,crush moment
107,crush moment
108,crush moment
109,crush moment
110,crush moment
111,crush moment
112,crush moment
113,crush moment
114,crush moment
115,crush moment
116,crush moment
117,crush moment
118,crush moment
119,crush moment
120,after crush
121,after crush
122,after crush
123,after crush
124,after crush
125,after crush
126,after crush
127,after crush
128,after crush
129,after crush
130,after crush
131,after crush
132,after crush
133,after crush
134,after crush
135,after crush
136,after crush
137,after crush
138,after crush
139,after crush
140,after crush
141,after crush
142,after crush
143,after crush
144,after crush
145,after crush
146,after crush
147,after crush
148,after crush
149,after crush
150,after crush
151,after crush
152,after crush
153,after crush
154,after crush
155,after crush
156,after crush
157,after crush
158,after crush
159,after crush
160,after crush
161,after crush
162,after crush
163,after crush
164,after crush
165,after crush
166,after crush
167,after crush
168,after crush
169,after crush
170,after crush
171,after crush
172,after crush
173,after crush
174,after crush
175,after crush
176,after crush
177,after crush
178,after crush
179,after crush
180,after crush
181,after crush
182,after crush
183,after crush
184,after crush
185,after crush
186,after crush
187,after crush
188,after crush
189,after crush
190,after crush
191,after crush
192,after crush
193,after crush
194,after crush
195,after crush
196,after crush
197,after crush
198,after crush
199,after crush
200,after crush
201,after crush
202,after crush
203,after crush
204,after crush
205,after crush
206,after crush
207,after crush
208,after crush
209,after crush
210,after crush
211,after crush
212,after crush
213,after crush
214,after crush
215,after crush
216,after crush
217,after crush
218,after crush
219,after crush
220,after crush
221,after crush
222,after crush
223,after crush
224,after crush
225,after crush
226,after crush
227,after crush
228,after crush
229,after crush
230,after crush
231,after crush
232,after crush
233,after crush
234,after crush
235,after crush
236,after crush
237,after crush
238,after crush
239,after crush
240,after crush
241,after crush
242,after crush
243,after crush
244,after crush
245,after crush
246,after crush
247,after crush
248,after crush
249,after crush
250,after crush
251,after crush
252,after crush
253,after crush
254,after crush
255,after crush
256,after crush
257,after crush
258,after crush
259,after crush
260,after crush
261,after crush
262,after crush
263,after crush
264,after crush
265,after crush
266,after crush
267,after crush
268,after crush
269,after crush
270,after crush
271,after crush
272,after crush
273,after crush
274,after crush
275,after crush
276,after crush
277,after crush
278,after crush
279,after crush
280,after crush
281,after crush
282,after crush
283,after crush
284,after crush
285,after crush
286,after crush
287,after crush
288,after crush
289,after crush
290,after crush
291,after crush
292,after crush
293,after crush
294,after crush
295,after crush
296,after crush
297,after crush
298,after crush
299,after crush
300,after crush
301,after crush
302,after crush
303,after crush
304,after crush
305,after crush
306,after crush
307,after crush
308,after crush
309,after crush
310,after crush
311,after crush
312,after crush
313,after crush
314,after crush
315,after crush
316,after crush
317,after crush
318,after crush
319,after crush
320,after crush
321,after crush
322,after crush
323,after crush
324,after crush
325,after crush
326,after crush
327,after crush
328,after crush
329,after crush
330,after crush
331,after crush
332,after crush
333,after crush
334,after crush
335,after crush
336,after crush
337,after crush
338,after crush
339,after crush
340,after crush
341,after crush
342,after crush
343,after crush
344,after crush
345,after crush
346,after crush
347,after crush
348,after crush
349,after crush
350,after crush
351,after crush
352,after crush
353,after crush
354,after crush
355,after crush
356,after crush
357,after crush
358,after crush
359,after crush
360,after crush
361,after crush
362,after crush
363,after crush
364,after crush
365,after crush
366,after crush
367,after crush
368,after crush
