frame_num,type
0,before crush
1,before crush
2,before crush
3,before crush
4,before crush
5,before crush
6,before crush
7,before crush
8,before crush
9,before crush
10,before crush
11,before crush
12,before crush
13,before crush
14,before crush
15,before crush
16,before crush
17,before crush
18,before crush
19,before crush
20,before crush
21,before crush
22,before crush
23,before crush
24,before crush
25,before crush
26,before crush
27,before crush
28,before crush
29,before crush
30,before crush
31,before crush
32,before crush
33,before crush
34,before crush
35,before crush
36,before crush
37,before crush
38,before crush
39,before crush
40,before crush
41,before crush
42,before crush
43,before crush
44,before crush
45,before crush
46,crush moment
47,crush moment
48,crush moment
49,crush moment
50,crush moment
51,crush moment
52,crush moment
53,after crush
54,after crush
55,after crush
56,after crush
57,after crush
58,after crush
59,after crush
60,after crush
61,after crush
62,after crush
63,after crush
64,after crush
65,after crush
66,after crush
67,after crush
68,after crush
69,after crush
70,after crush
71,after crush
72,after crush
73,after crush
74,after crush
75,after crush
76,after crush
77,after crush
78,after crush
