frame_num,type
0,before crush
1,before crush
2,before crush
3,before crush
4,before crush
5,before crush
6,before crush
7,before crush
8,before crush
9,before crush
10,before crush
11,before crush
12,before crush
13,before crush
14,before crush
15,before crush
16,before crush
17,before crush
18,before crush
19,before crush
20,crush moment
21,crush moment
22,crush moment
23,crush moment
24,crush moment
25,crush moment
26,crush moment
27,crush moment
28,crush moment
29,crush moment
30,crush moment
31,crush moment
32,crush moment
33,crush moment
34,crush moment
35,after crush
36,after crush
37,after crush
38,after crush
39,after crush
40,after crush
41,after crush
42,after crush
43,after crush
44,after crush
45,after crush
46,after crush
47,after crush
48,after crush
49,after crush
50,after crush
51,after crush
52,after crush
53,after crush
54,after crush
55,after crush
56,after crush
57,after crush
58,after crush
59,after crush
60,after crush
61,after crush
62,after crush
63,after crush
